symbol,timestamp_utc,spot,gamma_pin,distance_to_pin,gross_gex,net_gex,call_gex,put_gex,is_valid
NDX,2026-01-06 19:37:32.988602+00:00,25628.03049158543,25630.0,-1.9695084145714645,476.2228734068452,282.40394681498424,379.31341011091473,96.90946329593052,True
DJI,2026-01-06 19:37:54.837860+00:00,49435.26,170.0,49265.26,2.119452008676131e-44,-2.1187249922053948e-44,3.6350823536807486e-48,2.119088500440763e-44,False
RUT,2026-01-06 19:38:59.000792+00:00,2571.958,2530.0,41.958000000000084,92.0245262103679,13.33685623700368,52.68069122368579,39.34383498668211,True
SPX,2026-01-06 19:40:26.296528+00:00,6945.55,6950.0,-4.449999999999818,3172.9987336409813,2313.311655989911,2743.155194815446,429.8435388255351,False
NDX,2026-01-06 19:41:31.493024+00:00,25624.65315985594,25630.0,-5.34684014405866,473.12847283739643,304.531305328287,388.8298890828417,84.29858375455476,True
DJI,2026-01-06 19:41:53.670417+00:00,49458.22,170.0,49288.22,2.285779781241731e-44,-2.2857797812413664e-44,1.8233016672529044e-57,2.2857797812415486e-44,False
RUT,2026-01-06 19:42:57.541680+00:00,2572.6961,2530.0,42.696100000000115,91.78538198526925,13.655105304181014,52.72024364472514,39.065138340544124,True
SPX,2026-01-06 19:45:35.576955+00:00,6946.82,6950.0,-3.180000000000291,4053.1054947959606,2824.420593735183,3438.763044265572,614.3424505303888,False
NDX,2026-01-06 19:46:40.789329+00:00,25629.10487057558,25630.0,-0.8951294244216115,473.4653751588597,271.96124335228495,372.7133092555723,100.75206590328736,True
DJI,2026-01-06 19:47:03.994048+00:00,49465.01,170.0,49295.01,2.397057533375246e-44,-2.3970575245552896e-44,4.409978276948844e-53,2.3970575289652677e-44,False
RUT,2026-01-06 19:48:07.855209+00:00,2572.9533,2530.0,42.95330000000013,91.70195165957728,13.765501296776797,52.73372647817704,38.96822518140024,True
SPX,2026-01-06 19:49:41.150738+00:00,6946.35,6950.0,-3.649999999999636,3703.186138595198,2620.3291674702004,3161.757653032699,541.4284855624985,False
